City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,cooma,-36.2333,149.1333,6.02,60,5,2.14,AU,1717979944
301,lerwick,60.1545,-1.1494,9.0,77,100,9.65,GB,1717980313
302,ust'-kut,56.7938,105.7672,10.24,87,100,0.45,RU,1717980313
303,kingston,17.997,-76.7936,29.53,70,20,8.23,JM,1717980313
304,anadyr,64.75,177.4833,11.28,54,0,7.0,RU,1717980314
305,san fernando de apure,7.8878,-67.4724,22.53,97,100,0.62,VE,1717980314
306,danville,36.586,-79.395,26.21,61,20,8.23,US,1717980026
307,dwarka,22.2394,68.9678,28.89,80,9,7.54,IN,1717980314
308,monrovia,6.3005,-10.7969,24.87,85,100,2.85,LR,1717980315
309,polyarnyy,69.1989,33.4478,6.46,87,62,2.51,RU,1717980315
310,wusong,30.95,117.7833,20.44,89,100,0.97,CN,1717980315
311,pravokumskoye,44.7694,44.6472,19.09,79,100,4.89,RU,1717980315
312,ripon,54.1352,-1.5212,9.48,91,100,3.09,GB,1717980214
313,sao vicente,-23.9631,-46.3919,26.82,26,0,1.96,BR,1717980316
314,elizabethton,36.3487,-82.2107,19.95,79,100,0.0,US,1717980316
315,machico,32.7,-16.7667,19.45,82,75,2.57,PT,1717980316
316,kattivakkam,13.2167,80.3167,29.05,89,100,5.98,IN,1717980317
317,yetkul',54.8221,61.588,13.06,96,100,4.39,RU,1717980317
318,ilula,-7.6766,36.0366,13.18,93,32,3.17,TZ,1717980317
319,yemetsk,63.4721,41.7941,8.79,91,33,1.7,RU,1717980317
320,canas,10.4294,-85.0931,25.63,93,100,0.65,CR,1717980318
321,enewetak,11.3474,162.3373,28.43,81,29,7.28,MH,1717980318
322,hailar,49.2,119.7,21.79,38,20,2.15,CN,1717980318
323,sandnessjoen,66.0217,12.6316,11.29,72,53,3.5,NO,1717980318
324,kosh-agach,50.0,88.6667,14.61,57,65,2.24,RU,1717980319
325,babana,10.4295,3.815,24.3,83,100,3.82,NG,1717980319
326,ilha de mocambique,-15.0342,40.7358,24.47,69,83,10.06,MZ,1717980319
327,frontera,26.9333,-101.45,36.61,38,0,3.13,MX,1717980319
328,belonia,23.2528,91.4514,28.36,86,37,2.83,IN,1717980320
329,carauari,-4.8828,-66.8958,24.99,87,99,1.21,BR,1717980320
330,babu,24.4167,111.5167,26.55,91,100,1.6,CN,1717980320
331,saudarkrokur,65.7461,-19.6394,3.22,91,100,1.96,IS,1717980320
332,sitka,57.0531,-135.33,10.52,78,92,1.72,US,1717980321
333,kyzyl-mazhalyk,51.1333,90.6,18.28,54,81,1.34,RU,1717980321
334,noumea,-22.2763,166.4572,27.99,99,100,2.65,NC,1717980007
335,yishui,35.7847,118.6281,33.16,26,9,3.06,CN,1717980321
336,kaifeng,34.7911,114.3483,32.96,28,94,3.01,CN,1717980322
337,sunne,59.8376,13.143,8.23,99,89,2.16,SE,1717980322
338,kerman,30.2832,57.0788,13.92,28,0,0.0,IR,1717980322
339,lovrin,45.9681,20.7703,23.45,70,96,4.29,RO,1717980323
340,bara,10.3744,10.7288,26.43,73,31,6.54,NG,1717980323
341,vence,43.7216,7.1123,20.29,87,75,1.54,FR,1717980323
342,gamba,-2.65,10.0,22.2,91,54,2.11,GA,1717980323
343,nemuro,43.3236,145.575,11.45,90,100,7.21,JP,1717980324
344,tarawa,1.419,172.984,31.05,70,75,3.09,KI,1717980324
345,kochenevo,55.0218,82.202,14.66,74,98,2.14,RU,1717980324
346,vila vicosa,38.7777,-7.4179,15.93,82,100,1.82,PT,1717980324
347,mao,39.8885,4.2658,20.31,88,0,2.57,ES,1717980325
348,bekasi,-6.2349,106.9896,30.83,73,0,0.88,ID,1717980325
349,kirakira,-10.4544,161.9205,29.36,75,60,4.6,SB,1717980325
350,rawson,-43.3002,-65.1023,10.77,68,7,3.43,AR,1717980325
351,brak,27.5496,14.2714,27.33,11,0,2.0,LY,1717980326
352,klyuchi,52.2667,79.1667,20.17,82,100,3.8,RU,1717980326
353,nishinoomote,30.7333,131.0,24.31,83,75,2.06,JP,1717980326
354,enterprise,36.0252,-115.2419,38.51,7,75,4.63,US,1717980326
355,itajobi,-21.3181,-49.0544,20.27,45,64,3.0,BR,1717980327
356,la ronge,55.1001,-105.2842,12.14,62,75,2.57,CA,1717980327
357,sur,22.5667,59.5289,30.33,59,0,3.76,OM,1717980327
358,el granada,37.5027,-122.4694,23.84,77,75,9.26,US,1717980193
359,khandyga,62.6667,135.6,19.51,35,68,1.81,RU,1717980328
360,margate,51.3813,1.3862,14.06,72,100,2.24,GB,1717980325
361,primorsko-akhtarsk,46.0497,38.1747,17.35,86,8,2.73,RU,1717980328
362,sirte,31.2089,16.5887,24.28,43,0,4.48,LY,1717980328
363,volodarskiy,46.4013,48.5409,22.97,56,52,2.89,RU,1717980328
364,remire-montjoly,4.9167,-52.2667,26.02,94,40,0.0,GF,1717980329
365,bardai,11.65,7.2333,26.39,62,100,6.27,NG,1717980329
366,dehdasht,30.7949,50.5646,28.89,23,0,1.95,IR,1717980329
367,kapit,2.0167,112.9333,28.64,70,23,0.35,MY,1717980329
368,kisesa,-3.0833,34.15,19.34,60,100,4.51,TZ,1717980330
369,sunland park,31.7965,-106.58,35.27,14,0,4.63,US,1717980330
